Fund Allocator ID,fill_rate
A9859d3,0.7130474452554745
A0841e0,0.7125
A13f39c,0.7115384615384616
Acc4ce2,0.7083333333333333
Aa967c0,0.7083333333333333
A729d8b,0.70625
Ac01bd2,0.7041666666666666
Adfb13d,0.703125
Ad5c332,0.7
Af76863,0.6875
A31289e,0.6875
Afed02f,0.6875
A7bcb3d,0.6875
A1c6bfc,0.6826923076923077
A3c99e8,0.6787974683544303
A930514,0.6785714285714286
A466539,0.6740196078431373
A162a33,0.6708333333333334
A87a21d,0.65
Ae4c498,0.65
A5494b2,0.634375
Aa7f6d4,0.625
A1d6a44,0.625
Af5c876,0.625
A103ce5,0.625
A29c2b9,0.6061946902654867
A048b87,0.5977272727272728
Aa71003,0.5953389830508475
Adf56a5,0.575
Ae3893b,0.5732758620689655
Ace7356,0.5625
A80d406,0.5416666666666666
A2989df,0.5
A4f6e3c,0.5
Acc6f90,0.5
A7199bc,0.5
Aff00c9,0.5
Ae7bb35,0.494949494949495
A4350ff,0.484375
Aa56f0f,0.48214285714285715
Ab3ea87,0.4375
