Investment Manager Allocator ID,Capital Invested,Current Cost,Unrealized Value,Realized Proceeds,Deal Status,Sector,Geographic Focus
A97e2ad,1.0,0.53125,0.890625,1.0,0.953125,1.0,1.0
3.95E+42,0.9448818897637795,0.5065616797900262,0.994750656167979,0.94750656167979,0.9763779527559056,1.0,1.0
A91b7d0,0.8731343283582089,0.8731343283582089,0.8731343283582089,0.8731343283582089,0.8731343283582089,1.0,1.0
A01041e,0.6792452830188679,1.0,1.0,0.6792452830188679,1.0,1.0,1.0
A7d02b3,0.7899305555555556,0.3515625,0.9253472222222222,0.9253472222222222,0.9088541666666666,1.0,1.0
A7dd292,0.40384615384615385,1.0,1.0,0.40384615384615385,1.0,1.0,1.0
A24f078,0.3877551020408163,1.0,1.0,0.3877551020408163,0.9795918367346939,1.0,1.0
A8bd477,0.08786610878661087,1.0,1.0,0.6108786610878661,0.9916317991631799,1.0,1.0
A65900b,0.416,0.9333333333333333,0.9333333333333333,0.42933333333333334,0.872,1.0,1.0
Afc0dbf,0.2849462365591398,1.0,1.0,0.2849462365591398,1.0,1.0,1.0
A3e342a,0.30434782608695654,0.9782608695652174,0.9782608695652174,0.2826086956521739,0.8478260869565217,1.0,1.0
A8d1733,0.34306569343065696,0.9124087591240876,0.9051094890510949,0.34306569343065696,0.8795620437956204,1.0,1.0
18be12,0.7621621621621621,0.8513513513513513,0.8513513513513513,0.34324324324324323,0.7918918918918919,0.7027027027027027,1.0
A026fe6,0.12,1.0,1.0,0.18,1.0,1.0,1.0
A670146,0.05405405405405406,1.0,1.0,0.05405405405405406,0.9864864864864865,1.0,1.0
Ac1f496,1.0,0.0,1.0,0.0,1.0,1.0,1.0
A6f625f,0.0,1.0,1.0,0.0,1.0,1.0,1.0
Ad7e703,0.0,1.0,1.0,0.0,1.0,1.0,1.0
A4a62c2,0.0,1.0,1.0,0.0,0.9962825278810409,1.0,1.0
A12c595,0.0,0.9896551724137931,0.9896551724137931,0.0,0.9896551724137931,1.0,1.0
A109e0f,0.04054054054054054,0.9459459459459459,0.9459459459459459,0.04054054054054054,0.9324324324324325,1.0,1.0
Af0082f,0.0,0.9844644317252658,0.9844644317252658,0.0,0.8528209321340965,1.0,1.0
A49a079,0.0,0.9473684210526315,0.9473684210526315,0.0,0.9263157894736842,1.0,1.0
Adad2f2,0.0,0.0,0.8,1.0,0.9818181818181818,1.0,1.0
A02306d,0.07894736842105263,0.8947368421052632,0.8947368421052632,0.07894736842105263,0.8157894736842105,1.0,1.0
A9fbabf,0.0,0.7869822485207101,0.7869822485207101,0.0,0.7751479289940828,1.0,1.0
Aed3782,0.0,0.0,1.0,0.0,1.0,1.0,1.0
A99a662,0.0,0.0,1.0,0.0,0.9814814814814815,0.9629629629629629,1.0
A5d1a01,0.08284023668639054,0.21893491124260356,0.21893491124260356,0.08284023668639054,0.1893491124260355,1.0,1.0
